Date,BTC_supply
3/17/2018,16923237.5
3/16/2018,16921287.5
3/15/2018,16919487.5
3/14/2018,16917687.5
3/13/2018,16915712.5
3/12/2018,16913700
3/11/2018,16911787.5
3/10/2018,16910037.5
3/9/2018,16908212.5
3/8/2018,16906187.5
3/7/2018,16904225
3/6/2018,16902275
3/5/2018,16900412.5
3/4/2018,16898562.5
3/3/2018,16896312.5
3/2/2018,16894362.5
3/1/2018,16892300
2/28/2018,16890362.5
2/27/2018,16888362.5
2/26/2018,16886600
2/25/2018,16884462.5
2/24/2018,16882650
2/23/2018,16880800
2/22/2018,16878937.5
2/21/2018,16876825
2/20/2018,16875062.5
2/19/2018,16873037.5
2/18/2018,16871012.5
2/17/2018,16869150
2/16/2018,16867187.5
2/15/2018,16865550
2/14/2018,16863312.5
2/13/2018,16861262.5
2/12/2018,16859187.5
2/11/2018,16857300
2/10/2018,16855512.5
2/9/2018,16853825
2/8/2018,16852187.5
2/7/2018,16850425
2/6/2018,16848300
2/5/2018,16845987.5
2/4/2018,16843762.5
2/3/2018,16841787.5
2/2/2018,16839687.5
2/1/2018,16837687.5
1/31/2018,16836225
1/30/2018,16834137.5
1/29/2018,16832287.5
1/28/2018,16830312.5
1/27/2018,16828350
1/26/2018,16826412.5
1/25/2018,16824437.5
1/24/2018,16822237.5
1/23/2018,16820025
1/22/2018,16817937.5
1/21/2018,16815600
1/20/2018,16813375
1/19/2018,16811312.5
1/18/2018,16809150
1/17/2018,16807062.5
1/16/2018,16805075
1/15/2018,16803200
1/14/2018,16801262.5
1/13/2018,16799400
1/12/2018,16797175
1/11/2018,16794762.5
1/10/2018,16792687.5
1/9/2018,16790637.5
1/8/2018,16788562.5
1/7/2018,16786537.5
1/6/2018,16784437.5
1/5/2018,16782650
1/4/2018,16780550
1/3/2018,16778587.5
1/2/2018,16776450
1/1/2018,16774500
12/31/2017,16772462.5
12/30/2017,16770625
12/29/2017,16768562.5
12/28/2017,16766700
12/27/2017,16764750
12/26/2017,16762975
12/25/2017,16761287.5
12/24/2017,16759387.5
12/23/2017,16757650
12/22/2017,16755712.5
12/21/2017,16754062.5
12/20/2017,16752362.5
12/19/2017,16750612.5
12/18/2017,16748337.5
12/17/2017,16746025
12/16/2017,16743887.5
12/15/2017,16741775
12/14/2017,16739462.5
12/13/2017,16737137.5
12/12/2017,16735187.5
12/11/2017,16733050
12/10/2017,16731000
12/9/2017,16728825
12/8/2017,16726862.5
12/7/2017,16724975
12/6/2017,16722625
12/5/2017,16720400
12/4/2017,16718137.5
12/3/2017,16715937.5
12/2/2017,16713925
12/1/2017,16711637.5
11/30/2017,16709550
11/29/2017,16707387.5
11/28/2017,16705437.5
11/27/2017,16703312.5
11/26/2017,16701400
11/25/2017,16699450
11/24/2017,16697587.5
11/23/2017,16695312.5
11/22/2017,16693775
11/21/2017,16691612.5
11/20/2017,16689425
11/19/2017,16687425
11/18/2017,16685725
11/17/2017,16683637.5
11/16/2017,16681737.5
11/15/2017,16679837.5
11/14/2017,16678237.5
11/13/2017,16676487.5
11/12/2017,16675487.5
11/11/2017,16674487.5
11/10/2017,16672987.5
11/9/2017,16671075
11/8/2017,16669275
11/7/2017,16667325
11/6/2017,16665662.5
11/5/2017,16663900
11/4/2017,16662275
11/3/2017,16660787.5
11/2/2017,16658325
11/1/2017,16656962.5
10/31/2017,16655237.5
10/30/2017,16653400
10/29/2017,16651475
10/28/2017,16650412.5
10/27/2017,16649112.5
10/26/2017,16646862.5
10/25/2017,16644550
10/24/2017,16642462.5
10/23/2017,16640325
10/22/2017,16638050
10/21/2017,16636137.5
10/20/2017,16633900
10/19/2017,16631675
10/18/2017,16629787.5
10/17/2017,16627737.5
10/16/2017,16625562.5
10/15/2017,16623125
10/14/2017,16621362.5
10/13/2017,16619662.5
10/12/2017,16617750
10/11/2017,16616012.5
10/10/2017,16614012.5
10/9/2017,16612000
10/8/2017,16609725
10/7/2017,16607750
10/6/2017,16605762.5
10/5/2017,16604200
10/4/2017,16602525
10/3/2017,16600237.5
10/2/2017,16598362.5
10/1/2017,16596737.5
9/30/2017,16595012.5
9/29/2017,16592900
9/28/2017,16590687.5
9/27/2017,16588850
9/26/2017,16587125
9/25/2017,16585562.5
9/24/2017,16583750
9/23/2017,16581675
9/22/2017,16579937.5
9/21/2017,16577737.5
9/20/2017,16576275
9/19/2017,16574325
9/18/2017,16572737.5
9/17/2017,16570537.5
9/16/2017,16568425
9/15/2017,16566175
9/14/2017,16564000
9/13/2017,16561625
9/12/2017,16559275
9/11/2017,16557100
9/10/2017,16555375
9/9/2017,16553262.5
9/8/2017,16551075
9/7/2017,16548875
9/6/2017,16546850
9/5/2017,16544387.5
9/4/2017,16542200
9/3/2017,16540275
9/2/2017,16538225
9/1/2017,16536050
8/31/2017,16534012.5
8/30/2017,16531912.5
8/29/2017,16530050
8/28/2017,16528437.5
8/27/2017,16526500
8/26/2017,16525187.5
8/25/2017,16523925
8/24/2017,16522662.5
8/23/2017,16520675
8/22/2017,16519562.5
8/21/2017,16518125
8/20/2017,16516500
8/19/2017,16514612.5
8/18/2017,16512750
8/17/2017,16510512.5
8/16/2017,16508887.5
8/15/2017,16506987.5
8/14/2017,16505362.5
8/13/2017,16503512.5
8/12/2017,16501825
8/11/2017,16500025
8/10/2017,16498350
8/9/2017,16496625
8/8/2017,16494575
8/7/2017,16492662.5
8/6/2017,16490912.5
8/5/2017,16488700
8/4/2017,16486462.5
8/3/2017,16484737.5
8/2/2017,16482837.5
8/1/2017,16480975
7/31/2017,16479162.5
7/30/2017,16477325
7/29/2017,16475362.5
7/28/2017,16473487.5
7/27/2017,16471562.5
7/26/2017,16469725
7/25/2017,16467875
7/24/2017,16465650
7/23/2017,16463500
7/22/2017,16461500
7/21/2017,16459575
7/20/2017,16457550
7/19/2017,16455687.5
7/18/2017,16453625
7/17/2017,16451775
7/16/2017,16449737.5
7/15/2017,16448150
7/14/2017,16446412.5
7/13/2017,16444450
7/12/2017,16442237.5
7/11/2017,16440075
7/10/2017,16437612.5
7/9/2017,16435887.5
7/8/2017,16433825
7/7/2017,16431975
7/6/2017,16430200
7/5/2017,16428337.5
7/4/2017,16426425
7/3/2017,16426425
7/2/2017,16424300
7/1/2017,16419900
6/30/2017,16417975
6/29/2017,16416475
6/28/2017,16414512.5
6/27/2017,16412875
6/26/2017,16411100
6/25/2017,16409575
6/24/2017,16407750
6/23/2017,16405750
6/22/2017,16404012.5
6/21/2017,16402262.5
6/20/2017,16400537.5
6/19/2017,16398650
6/18/2017,16396837.5
6/17/2017,16395025
6/16/2017,16393175
6/15/2017,16391262.5
6/14/2017,16389512.5
6/13/2017,16387750
6/12/2017,16385912.5
6/11/2017,16384087.5
6/10/2017,16382325
6/9/2017,16380437.5
6/8/2017,16378375
6/7/2017,16376312.5
6/6/2017,16374425
6/5/2017,16372375
6/4/2017,16370362.5
6/3/2017,16367962.5
6/2/2017,16366137.5
6/1/2017,16364012.5
5/31/2017,16361962.5
5/30/2017,16359725
5/29/2017,16357837.5
5/28/2017,16355775
5/27/2017,16353675
5/26/2017,16351762.5
5/25/2017,16349725
5/24/2017,16347800
5/23/2017,16345700
5/22/2017,16343875
5/21/2017,16342037.5
5/20/2017,16339975
5/19/2017,16337925
5/18/2017,16336150
5/17/2017,16334212.5
5/16/2017,16332562.5
5/15/2017,16330437.5
5/14/2017,16328387.5
5/13/2017,16326412.5
5/12/2017,16324487.5
5/11/2017,16322800
5/10/2017,16320950
5/9/2017,16319012.5
5/8/2017,16316762.5
5/7/2017,16314675
5/6/2017,16312575
5/5/2017,16310962.5
5/4/2017,16308862.5
5/3/2017,16307212.5
5/2/2017,16305237.5
5/1/2017,16303362.5
4/30/2017,16301475
4/29/2017,16299312.5
4/28/2017,16297612.5
4/27/2017,16295775
4/26/2017,16293862.5
4/25/2017,16292012.5
4/24/2017,16290462.5
4/23/2017,16288550
4/22/2017,16286737.5
4/21/2017,16284650
4/20/2017,16282925
4/19/2017,16281137.5
4/18/2017,16279312.5
4/17/2017,16277587.5
4/16/2017,16275762.5
4/15/2017,16273887.5
4/14/2017,16272150
4/13/2017,16270562.5
4/12/2017,16268787.5
4/11/2017,16266700
4/10/2017,16264862.5
4/9/2017,16262875
4/8/2017,16261162.5
4/7/2017,16259137.5
4/6/2017,16257300
4/5/2017,16255275
4/4/2017,16253712.5
4/3/2017,16251512.5
4/2/2017,16249537.5
4/1/2017,16247887.5
3/31/2017,16246200
3/30/2017,16244150
3/29/2017,16242425
3/28/2017,16240487.5
3/27/2017,16238837.5
3/26/2017,16236762.5
3/25/2017,16235100
3/24/2017,16232900
3/23/2017,16231050
3/22/2017,16229062.5
3/21/2017,16227287.5
3/20/2017,16225587.5
3/19/2017,16223525
3/18/2017,16221562.5
3/17/2017,16219637.5
3/16/2017,16217725
3/15/2017,16215950
3/14/2017,16214000
3/13/2017,16212187.5
3/12/2017,16210250
3/11/2017,16208387.5
3/10/2017,16206437.5
3/9/2017,16204587.5
3/8/2017,16202812.5
3/7/2017,16200900
3/6/2017,16199125
3/5/2017,16197287.5
3/4/2017,16195637.5
3/3/2017,16193750
3/2/2017,16191787.5
3/1/2017,16189987.5
2/28/2017,16188075
2/27/2017,16186275
2/26/2017,16184050
2/25/2017,16181962.5
2/24/2017,16179925
2/23/2017,16178050
2/22/2017,16176325
2/21/2017,16174600
2/20/2017,16172750
2/19/2017,16171075
2/18/2017,16169187.5
2/17/2017,16167300
2/16/2017,16165412.5
2/15/2017,16163675
2/14/2017,16161562.5
2/13/2017,16159525
2/12/2017,16157775
2/11/2017,16156037.5
2/10/2017,16154200
2/9/2017,16152087.5
2/8/2017,16150262.5
2/7/2017,16148375
2/6/2017,16146812.5
2/5/2017,16144825
2/4/2017,16143025
2/3/2017,16141162.5
2/2/2017,16139200
2/1/2017,16136800
1/31/2017,16134987.5
1/30/2017,16133187.5
1/29/2017,16131100
1/28/2017,16129200
1/27/2017,16127075
1/26/2017,16125137.5
1/25/2017,16123275
1/24/2017,16121412.5
1/23/2017,16119687.5
1/22/2017,16117512.5
1/21/2017,16115250
1/20/2017,16112887.5
1/19/2017,16110712.5
1/18/2017,16108837.5
1/17/2017,16106862.5
1/16/2017,16104750
1/15/2017,16102662.5
1/14/2017,16100512.5
1/13/2017,16098637.5
1/12/2017,16096487.5
1/11/2017,16094575
1/10/2017,16092575
1/9/2017,16090875
1/8/2017,16088787.5
1/7/2017,16087062.5
1/6/2017,16085050
1/5/2017,16083300
1/4/2017,16081387.5
1/3/2017,16079337.5
1/2/2017,16077350
1/1/2017,16075400
12/31/2016,16073550
12/30/2016,16071587.5
12/29/2016,16069712.5
12/28/2016,16067662.5
12/27/2016,16065712.5
12/26/2016,16063937.5
12/25/2016,16061875
12/24/2016,16060162.5
12/23/2016,16058262.5
12/22/2016,16056275
12/21/2016,16054287.5
12/20/2016,16052562.5
12/19/2016,16050675
12/18/2016,16048912.5
12/17/2016,16047112.5
12/16/2016,16045450
12/15/2016,16043862.5
12/14/2016,16042125
12/13/2016,16039900
12/12/2016,16039900
12/11/2016,16035612.5
12/10/2016,16033962.5
12/9/2016,16032275
12/8/2016,16030312.5
12/7/2016,16028137.5
12/6/2016,16026262.5
12/5/2016,16024362.5
12/4/2016,16022512.5
12/3/2016,16020362.5
12/2/2016,16018575
12/1/2016,16016750
11/30/2016,16014975
11/29/2016,16013112.5
11/28/2016,16011062.5
11/27/2016,16009262.5
11/26/2016,16007350
11/25/2016,16005450
11/24/2016,16003425
11/23/2016,16001587.5
11/22/2016,15999912.5
11/21/2016,15998175
11/20/2016,15996575
11/19/2016,15994800
11/18/2016,15992950
11/17/2016,15990962.5
11/16/2016,15988825
11/15/2016,15986875
11/14/2016,15984725
11/13/2016,15982950
11/12/2016,15980850
11/11/2016,15978812.5
11/10/2016,15976712.5
11/9/2016,15974875
11/8/2016,15972762.5
11/7/2016,15970937.5
11/6/2016,15969025
11/5/2016,15967187.5
11/4/2016,15965737.5
11/3/2016,15963800
11/2/2016,15962137.5
11/1/2016,15960337.5
10/31/2016,15958500
10/30/2016,15956400
10/29/2016,15954537.5
10/28/2016,15952637.5
10/27/2016,15950612.5
10/26/2016,15948887.5
10/25/2016,15947150
10/24/2016,15945362.5
10/23/2016,15943562.5
10/22/2016,15941700
10/21/2016,15939650
10/20/2016,15937975
10/19/2016,15936412.5
10/18/2016,15934475
10/17/2016,15932912.5
10/16/2016,15931287.5
10/15/2016,15929512.5
10/14/2016,15927812.5
10/13/2016,15926212.5
10/12/2016,15924412.5
10/11/2016,15922675
10/10/2016,15921125
10/9/2016,15919125
10/8/2016,15917012.5
10/7/2016,15915225
10/6/2016,15913212.5
10/5/2016,15911125
10/4/2016,15909150
