Date,S&P Adj Close,S&P Volume
4/29/2013,1593.609985,2891200000
4/30/2013,1597.569946,3745070000
5/1/2013,1582.699951,3530320000
5/2/2013,1597.589966,3366950000
5/3/2013,1614.420044,3603910000
5/6/2013,1617.5,3062240000
5/7/2013,1625.959961,3309580000
5/8/2013,1632.689941,3554700000
5/9/2013,1626.670044,3457400000
5/10/2013,1633.699951,3086470000
5/13/2013,1633.77002,2910600000
5/14/2013,1650.339966,3457790000
5/15/2013,1658.780029,3657440000
5/16/2013,1650.469971,3513130000
5/17/2013,1667.469971,3440710000
5/20/2013,1666.290039,3275080000
5/21/2013,1669.160034,3513560000
5/22/2013,1655.349976,4361020000
5/23/2013,1650.51001,3945510000
5/24/2013,1649.599976,2758080000
5/28/2013,1660.060059,3457400000
5/29/2013,1648.359985,3587140000
5/30/2013,1654.410034,3498620000
5/31/2013,1630.73999,4099600000
6/3/2013,1640.420044,3952070000
6/4/2013,1631.380005,3653840000
6/5/2013,1608.900024,3632350000
6/6/2013,1622.560059,3547380000
6/7/2013,1643.380005,3371990000
6/10/2013,1642.810059,2978730000
6/11/2013,1626.130005,3435710000
6/12/2013,1612.52002,3202550000
6/13/2013,1636.359985,3378620000
6/14/2013,1626.72998,2939400000
6/17/2013,1639.040039,3137080000
6/18/2013,1651.810059,3120980000
6/19/2013,1628.930054,3545060000
6/20/2013,1588.189941,4858850000
6/21/2013,1592.430054,5797280000
6/24/2013,1573.089966,4733660000
6/25/2013,1588.030029,3761170000
6/26/2013,1603.26001,3558340000
6/27/2013,1613.199951,3364540000
6/28/2013,1606.280029,4977190000
7/1/2013,1614.959961,3104690000
7/2/2013,1614.079956,3317130000
7/3/2013,1615.410034,1966050000
7/5/2013,1631.890015,2634140000
7/8/2013,1640.459961,3514590000
7/9/2013,1652.319946,3155360000
7/10/2013,1652.619995,3011010000
7/11/2013,1675.02002,3446340000
7/12/2013,1680.189941,3039070000
7/15/2013,1682.5,2623200000
7/16/2013,1676.26001,3081710000
7/17/2013,1680.910034,3153440000
7/18/2013,1689.369995,3452370000
7/19/2013,1692.089966,3302580000
7/22/2013,1695.530029,2779130000
7/23/2013,1692.390015,3096180000
7/24/2013,1685.939941,3336120000
7/25/2013,1690.25,3322500000
7/26/2013,1691.650024,2762770000
7/29/2013,1685.329956,2840520000
7/30/2013,1685.959961,3320530000
7/31/2013,1685.72998,3847390000
8/1/2013,1706.869995,3775170000
8/2/2013,1709.670044,3136630000
8/5/2013,1707.140015,2529300000
8/6/2013,1697.369995,3141210000
8/7/2013,1690.910034,3010230000
8/8/2013,1697.47998,3271660000
8/9/2013,1691.420044,2957670000
8/12/2013,1689.469971,2789160000
8/13/2013,1694.160034,3035560000
8/14/2013,1685.390015,2871430000
8/15/2013,1661.319946,3426690000
8/16/2013,1655.829956,3211450000
8/19/2013,1646.060059,2904530000
8/20/2013,1652.349976,2994090000
8/21/2013,1642.800049,2932180000
8/22/2013,1656.959961,2537460000
8/23/2013,1663.5,2582670000
8/26/2013,1656.780029,2430670000
8/27/2013,1630.47998,3219190000
8/28/2013,1634.959961,2784010000
8/29/2013,1638.170044,2527550000
8/30/2013,1632.969971,2734300000
9/3/2013,1639.77002,3731610000
9/4/2013,1653.079956,3312150000
9/5/2013,1655.079956,2957110000
9/6/2013,1655.170044,3123880000
9/9/2013,1671.709961,3102780000
9/10/2013,1683.98999,3691800000
9/11/2013,1689.130005,3135460000
9/12/2013,1683.420044,3106290000
9/13/2013,1687.98999,2736500000
9/16/2013,1697.599976,3079800000
9/17/2013,1704.76001,2774240000
9/18/2013,1725.52002,3989760000
9/19/2013,1722.339966,3740130000
9/20/2013,1709.910034,5074030000
9/23/2013,1701.839966,3126950000
9/24/2013,1697.420044,3268930000
9/25/2013,1692.77002,3148730000
9/26/2013,1698.670044,2813930000
9/27/2013,1691.75,2951700000
9/30/2013,1681.550049,3308630000
10/1/2013,1695,3238690000
10/2/2013,1693.869995,3148600000
