Date,ETH_price,ETH_volume
1/2/2016,0.938126162,252880.2353
1/3/2016,0.972196976,402755.9084
1/4/2016,0.959297835,341506.8214
1/5/2016,0.953102241,217443.2381
1/6/2016,0.968434012,328507.1524
1/7/2016,0.95897678,642269.5176
1/8/2016,0.995574781,554403.4018
1/9/2016,1.024780968,254045.6291
1/10/2016,1.019965856,404315.935
1/11/2016,1.068726621,1025253.038
1/12/2016,1.167362901,2962550.395
1/13/2016,1.129588346,1003321.36
1/14/2016,1.157377553,731050.8484
1/15/2016,1.210735463,4049516.212
1/16/2016,1.215691295,2377737.143
1/17/2016,1.321855712,1176009.007
1/18/2016,1.398301127,4073710.12
1/19/2016,1.376990019,1684557.291
1/20/2016,1.565411905,2899771.051
1/21/2016,1.544691862,1670627.322
1/22/2016,1.471341823,1585027.992
1/23/2016,1.692156285,2212028.797
1/24/2016,2.131691495,9578400.619
1/25/2016,2.481396086,10884776.21
1/26/2016,2.086782727,11669540.23
1/27/2016,2.384501159,7048626.219
1/28/2016,2.519719735,5043090.698
1/29/2016,2.486203232,6527897.662
1/30/2016,2.437601274,3674090.398
1/31/2016,2.298766557,5834817.707
2/1/2016,2.221883059,3991411.341
2/2/2016,2.403111855,3602402.308
2/3/2016,2.515949933,4030697.339
2/4/2016,2.557178944,3532651.02
2/5/2016,2.532878565,2640353.615
2/6/2016,2.517776369,1924574.718
2/7/2016,2.950776113,7099203.552
2/8/2016,3.165335694,9781404.737
2/9/2016,3.720453287,16355217.95
2/10/2016,4.427431438,29316397.61
2/11/2016,6.005000308,28752968.92
2/12/2016,5.475649284,9902598.244
2/13/2016,5.373284922,25637385.48
2/14/2016,5.169512436,11552061.71
2/15/2016,5.319058286,13786358.78
2/16/2016,4.368970122,15444552.59
2/17/2016,3.744022471,14847989.05
2/18/2016,4.397939042,17707643.87
2/19/2016,4.493895383,7215680.132
2/20/2016,4.301875678,8703306.941
2/21/2016,4.653970273,6458218.233
2/22/2016,5.608714258,15140246.89
2/23/2016,5.61209144,13534870.66
2/24/2016,6.134381259,11396482.66
2/25/2016,5.936257433,20614025.81
2/26/2016,5.897351626,9515283.257
2/27/2016,6.357091762,8967228.052
2/28/2016,6.440650849,9683081.006
2/29/2016,6.312028458,7546069.554
3/1/2016,7.56015705,20945587.17
3/2/2016,8.398318163,29743237.91
3/3/2016,9.504937043,40441406.85
