content/pr,TreasuryYield_10
1/4/2016,2.24
1/5/2016,2.25
1/6/2016,2.18
1/7/2016,2.16
1/8/2016,2.13
1/11/2016,2.17
1/12/2016,2.12
1/13/2016,2.08
1/14/2016,2.1
1/15/2016,2.03
1/19/2016,2.06
1/20/2016,2.01
1/21/2016,2.02
1/22/2016,2.07
1/25/2016,2.03
1/26/2016,2.01
1/27/2016,2.02
1/28/2016,2
1/29/2016,1.94
2/1/2016,1.97
2/2/2016,1.87
2/3/2016,1.88
2/4/2016,1.87
2/5/2016,1.86
2/8/2016,1.75
2/9/2016,1.74
2/10/2016,1.71
2/11/2016,1.63
2/12/2016,1.74
2/16/2016,1.78
2/17/2016,1.81
2/18/2016,1.75
2/19/2016,1.76
2/22/2016,1.77
2/23/2016,1.74
2/24/2016,1.75
2/25/2016,1.71
2/26/2016,1.76
2/29/2016,1.74
3/1/2016,1.83
3/2/2016,1.84
3/3/2016,1.83
3/4/2016,1.88
3/7/2016,1.91
3/8/2016,1.83
3/9/2016,1.9
3/10/2016,1.93
3/11/2016,1.98
3/14/2016,1.97
3/15/2016,1.97
3/16/2016,1.94
3/17/2016,1.91
3/18/2016,1.88
3/21/2016,1.92
3/22/2016,1.94
3/23/2016,1.88
3/24/2016,1.91
3/28/2016,1.89
3/29/2016,1.81
3/30/2016,1.83
3/31/2016,1.78
4/1/2016,1.79
4/4/2016,1.78
4/5/2016,1.73
4/6/2016,1.76
4/7/2016,1.7
4/8/2016,1.72
4/11/2016,1.73
4/12/2016,1.79
4/13/2016,1.77
4/14/2016,1.8
4/15/2016,1.76
4/18/2016,1.78
4/19/2016,1.79
4/20/2016,1.85
4/21/2016,1.88
4/22/2016,1.89
4/25/2016,1.91
4/26/2016,1.94
4/27/2016,1.87
4/28/2016,1.84
4/29/2016,1.83
5/2/2016,1.88
5/3/2016,1.81
5/4/2016,1.79
5/5/2016,1.76
5/6/2016,1.79
5/9/2016,1.77
5/10/2016,1.77
5/11/2016,1.73
5/12/2016,1.75
5/13/2016,1.71
5/16/2016,1.75
5/17/2016,1.76
5/18/2016,1.87
5/19/2016,1.85
5/20/2016,1.85
5/23/2016,1.84
5/24/2016,1.86
5/25/2016,1.87
5/26/2016,1.83
5/27/2016,1.85
5/31/2016,1.84
6/1/2016,1.85
6/2/2016,1.81
6/3/2016,1.71
6/6/2016,1.73
6/7/2016,1.72
6/8/2016,1.71
6/9/2016,1.68
6/10/2016,1.64
6/13/2016,1.62
6/14/2016,1.62
6/15/2016,1.6
6/16/2016,1.57
6/17/2016,1.62
6/20/2016,1.67
6/21/2016,1.71
6/22/2016,1.69
6/23/2016,1.74
6/24/2016,1.57
6/27/2016,1.46
6/28/2016,1.46
6/29/2016,1.5
6/30/2016,1.49
7/1/2016,1.46
7/5/2016,1.37
7/6/2016,1.38
7/7/2016,1.4
7/8/2016,1.37
7/11/2016,1.43
7/12/2016,1.53
7/13/2016,1.48
7/14/2016,1.53
7/15/2016,1.6
7/18/2016,1.59
7/19/2016,1.56
7/20/2016,1.59
7/21/2016,1.57
7/22/2016,1.57
7/25/2016,1.58
7/26/2016,1.57
7/27/2016,1.52
7/28/2016,1.52
7/29/2016,1.46
8/1/2016,1.51
8/2/2016,1.55
8/3/2016,1.55
8/4/2016,1.51
8/5/2016,1.59
8/8/2016,1.59
8/9/2016,1.55
8/10/2016,1.5
8/11/2016,1.57
8/12/2016,1.51
8/15/2016,1.55
8/16/2016,1.57
8/17/2016,1.56
8/18/2016,1.53
8/19/2016,1.58
8/22/2016,1.55
8/23/2016,1.55
8/24/2016,1.56
8/25/2016,1.58
8/26/2016,1.62
8/29/2016,1.57
8/30/2016,1.57
8/31/2016,1.58
9/1/2016,1.57
9/2/2016,1.6
9/6/2016,1.55
9/7/2016,1.54
9/8/2016,1.61
9/9/2016,1.67
9/12/2016,1.68
9/13/2016,1.73
9/14/2016,1.7
9/15/2016,1.71
9/16/2016,1.7
9/19/2016,1.7
9/20/2016,1.69
9/21/2016,1.66
9/22/2016,1.63
9/23/2016,1.62
9/26/2016,1.59
9/27/2016,1.56
9/28/2016,1.57
9/29/2016,1.56
9/30/2016,1.6
10/3/2016,1.63
10/4/2016,1.69
10/5/2016,1.72
10/6/2016,1.75
10/7/2016,1.73
10/11/2016,1.77
10/12/2016,1.79
10/13/2016,1.75
10/14/2016,1.8
10/17/2016,1.77
10/18/2016,1.75
10/19/2016,1.76
10/20/2016,1.76
10/21/2016,1.74
10/24/2016,1.77
10/25/2016,1.77
10/26/2016,1.79
10/27/2016,1.85
10/28/2016,1.86
10/31/2016,1.84
11/1/2016,1.83
11/2/2016,1.81
11/3/2016,1.82
11/4/2016,1.79
11/7/2016,1.83
11/8/2016,1.88
11/9/2016,2.07
11/10/2016,2.15
11/14/2016,2.23
11/15/2016,2.23
11/16/2016,2.22
11/17/2016,2.29
11/18/2016,2.34
11/21/2016,2.33
11/22/2016,2.31
11/23/2016,2.36
11/25/2016,2.36
11/28/2016,2.32
11/29/2016,2.3
11/30/2016,2.37
12/1/2016,2.45
12/2/2016,2.4
12/5/2016,2.39
12/6/2016,2.39
12/7/2016,2.34
12/8/2016,2.4
12/9/2016,2.47
12/12/2016,2.49
12/13/2016,2.48
12/14/2016,2.54
12/15/2016,2.6
12/16/2016,2.6
12/19/2016,2.54
12/20/2016,2.57
12/21/2016,2.55
12/22/2016,2.55
12/23/2016,2.55
12/27/2016,2.57
12/28/2016,2.51
12/29/2016,2.49
12/30/2016,2.45
