content/pr,TreasuryYield_10
1/2/2018,2.46
1/3/2018,2.44
1/4/2018,2.46
1/5/2018,2.47
1/8/2018,2.49
1/9/2018,2.55
1/10/2018,2.55
1/11/2018,2.54
1/12/2018,2.55
1/16/2018,2.54
1/17/2018,2.57
1/18/2018,2.62
1/19/2018,2.64
1/22/2018,2.66
1/23/2018,2.63
1/24/2018,2.65
1/25/2018,2.63
1/26/2018,2.66
1/29/2018,2.7
1/30/2018,2.73
1/31/2018,2.72
2/1/2018,2.78
2/2/2018,2.84
2/5/2018,2.77
2/6/2018,2.79
2/7/2018,2.84
2/8/2018,2.85
2/9/2018,2.83
2/12/2018,2.86
2/13/2018,2.83
2/14/2018,2.91
2/15/2018,2.9
2/16/2018,2.87
2/20/2018,2.88
2/21/2018,2.94
2/22/2018,2.92
2/23/2018,2.88
2/26/2018,2.86
2/27/2018,2.9
2/28/2018,2.87
3/1/2018,2.81
3/2/2018,2.86
3/5/2018,2.88
3/6/2018,2.88
3/7/2018,2.89
3/8/2018,2.86
3/9/2018,2.9
3/12/2018,2.87
3/13/2018,2.84
3/14/2018,2.81
3/15/2018,2.82
3/16/2018,2.85
3/19/2018,2.85
3/20/2018,2.89
3/21/2018,2.89
3/22/2018,2.83
3/23/2018,2.82
3/26/2018,2.85
3/27/2018,2.78
3/28/2018,2.77
3/29/2018,2.74
4/2/2018,2.73
4/3/2018,2.79
4/4/2018,2.79
4/5/2018,2.83
4/6/2018,2.77
4/9/2018,2.78
4/10/2018,2.8
4/11/2018,2.79
4/12/2018,2.83
4/13/2018,2.82
4/16/2018,2.83
4/17/2018,2.82
4/18/2018,2.87
4/19/2018,2.92
4/20/2018,2.96
4/23/2018,2.98
4/24/2018,3
4/25/2018,3.03
4/26/2018,3
4/27/2018,2.96
4/30/2018,2.95
5/1/2018,2.97
5/2/2018,2.97
5/3/2018,2.94
5/4/2018,2.95
5/7/2018,2.95
5/8/2018,2.97
5/9/2018,3
5/10/2018,2.97
5/11/2018,2.97
5/14/2018,3
5/15/2018,3.08
5/16/2018,3.09
5/17/2018,3.11
5/18/2018,3.06
5/21/2018,3.06
5/22/2018,3.06
5/23/2018,3.01
5/24/2018,2.98
5/25/2018,2.93
5/29/2018,2.77
5/30/2018,2.84
5/31/2018,2.83
6/1/2018,2.89
6/4/2018,2.94
6/5/2018,2.92
6/6/2018,2.97
6/7/2018,2.93
6/8/2018,2.93
6/11/2018,2.96
6/12/2018,2.96
6/13/2018,2.98
6/14/2018,2.94
6/15/2018,2.93
6/18/2018,2.92
6/19/2018,2.89
6/20/2018,2.93
6/21/2018,2.9
6/22/2018,2.9
6/25/2018,2.87
6/26/2018,2.88
6/27/2018,2.83
6/28/2018,2.84
6/29/2018,2.85
7/2/2018,2.87
7/3/2018,2.83
7/5/2018,2.84
7/6/2018,2.82
7/9/2018,2.86
7/10/2018,2.87
7/11/2018,2.85
7/12/2018,2.85
7/13/2018,2.83
7/16/2018,2.85
7/17/2018,2.86
7/18/2018,2.88
7/19/2018,2.84
7/20/2018,2.89
7/23/2018,2.96
7/24/2018,2.95
7/25/2018,2.94
7/26/2018,2.98
7/27/2018,2.96
7/30/2018,2.98
7/31/2018,2.96
8/1/2018,3
8/2/2018,2.98
8/3/2018,2.95
8/6/2018,2.94
8/7/2018,2.98
8/8/2018,2.96
8/9/2018,2.93
8/10/2018,2.87
8/13/2018,2.88
8/14/2018,2.89
8/15/2018,2.86
8/16/2018,2.87
8/17/2018,2.87
8/20/2018,2.82
8/21/2018,2.85
8/22/2018,2.82
8/23/2018,2.82
8/24/2018,2.82
8/27/2018,2.85
8/28/2018,2.88
8/29/2018,2.89
8/30/2018,2.86
8/31/2018,2.86
9/4/2018,2.9
9/5/2018,2.9
9/6/2018,2.88
9/7/2018,2.94
9/10/2018,2.94
9/11/2018,2.98
9/12/2018,2.97
9/13/2018,2.97
9/14/2018,2.99
9/17/2018,2.99
9/18/2018,3.05
9/19/2018,3.08
9/20/2018,3.07
9/21/2018,3.07
9/24/2018,3.08
9/25/2018,3.1
9/26/2018,3.06
9/27/2018,3.06
9/28/2018,3.05
10/1/2018,3.09
10/2/2018,3.05
10/3/2018,3.15
10/4/2018,3.19
10/5/2018,3.23
10/9/2018,3.21
10/10/2018,3.22
10/11/2018,3.14
10/12/2018,3.15
10/15/2018,3.16
10/16/2018,3.16
10/17/2018,3.19
10/18/2018,3.17
10/19/2018,3.2
10/22/2018,3.2
10/23/2018,3.17
10/24/2018,3.1
10/25/2018,3.14
10/26/2018,3.08
10/29/2018,3.08
10/30/2018,3.12
10/31/2018,3.15
11/1/2018,3.14
11/2/2018,3.22
11/5/2018,3.2
11/6/2018,3.22
11/7/2018,3.22
11/8/2018,3.24
11/9/2018,3.19
11/13/2018,3.14
11/14/2018,3.12
11/15/2018,3.11
11/16/2018,3.08
11/19/2018,3.06
11/20/2018,3.06
11/21/2018,3.06
11/23/2018,3.05
11/26/2018,3.07
11/27/2018,3.06
11/28/2018,3.06
11/29/2018,3.03
