Date,NASDAQ Adj Close,NASDAQ Volume
4/29/2013,3307.02002,1594110000
4/30/2013,3328.790039,1984270000
5/1/2013,3299.129883,1884600000
5/2/2013,3340.620117,1757480000
5/3/2013,3378.629883,1745570000
5/6/2013,3392.969971,1500410000
5/7/2013,3396.629883,1709800000
5/8/2013,3413.27002,1756400000
5/9/2013,3409.169922,1826220000
5/10/2013,3436.580078,1689730000
5/13/2013,3438.790039,1615510000
5/14/2013,3462.610107,1820520000
5/15/2013,3471.620117,1843910000
5/16/2013,3465.23999,1945760000
5/17/2013,3498.969971,1828610000
5/20/2013,3496.429932,1745260000
5/21/2013,3502.120117,1776780000
5/22/2013,3463.300049,2179330000
5/23/2013,3459.419922,1820670000
5/24/2013,3459.139893,1449210000
5/28/2013,3488.889893,1748070000
5/29/2013,3467.52002,1794650000
5/30/2013,3491.300049,1737320000
5/31/2013,3455.909912,1968270000
6/3/2013,3465.370117,2054100000
6/4/2013,3445.26001,1871640000
6/5/2013,3401.47998,1813890000
6/6/2013,3424.050049,1802700000
6/7/2013,3469.219971,1646810000
6/10/2013,3473.77002,1556520000
6/11/2013,3436.949951,1560370000
6/12/2013,3400.429932,1630200000
6/13/2013,3445.360107,1584740000
6/14/2013,3423.560059,1458030000
6/17/2013,3452.129883,1581830000
6/18/2013,3482.179932,1675090000
6/19/2013,3443.199951,1649200000
6/20/2013,3364.639893,2041500000
6/21/2013,3357.25,2921900000
6/24/2013,3320.76001,2030960000
6/25/2013,3347.889893,1657280000
6/26/2013,3376.219971,1671280000
6/27/2013,3401.860107,1689800000
6/28/2013,3403.25,3630410000
7/1/2013,3434.48999,1586750000
7/2/2013,3433.399902,1685190000
7/3/2013,3443.669922,935980000
7/5/2013,3479.379883,1254400000
7/8/2013,3484.830078,1521720000
7/9/2013,3504.26001,1633520000
7/10/2013,3520.76001,1567340000
7/11/2013,3578.300049,1744210000
7/12/2013,3600.080078,1615820000
7/15/2013,3607.48999,1449130000
7/16/2013,3598.5,1590540000
7/17/2013,3610,1564340000
7/18/2013,3611.280029,1719390000
7/19/2013,3587.610107,1785460000
7/22/2013,3600.389893,1507010000
7/23/2013,3579.27002,1620350000
7/24/2013,3579.600098,1856660000
7/25/2013,3605.189941,2203970000
7/26/2013,3613.159912,1796060000
7/29/2013,3599.139893,1545720000
7/30/2013,3616.469971,1763580000
7/31/2013,3626.370117,1942380000
8/1/2013,3675.73999,1863290000
8/2/2013,3689.590088,1683270000
8/5/2013,3692.949951,1471860000
8/6/2013,3665.77002,1444200000
8/7/2013,3654.01001,1659780000
8/8/2013,3669.120117,1702950000
8/9/2013,3660.110107,1546570000
8/12/2013,3669.949951,1422420000
8/13/2013,3684.439941,1644730000
8/14/2013,3669.27002,1589370000
8/15/2013,3606.120117,1742510000
8/16/2013,3602.780029,1520430000
