Date,Ripple_price,Ripple_volume
6/12/2014,0.00395321,9613.676058
6/13/2014,0.003984378,5198.982057
6/14/2014,0.004058423,6878.956881
6/15/2014,0.0040547,9090.954786
6/16/2014,0.004230593,4289.108931
6/17/2014,0.004268323,7858.988835
6/18/2014,0.004265581,8681.984393
6/19/2014,0.004153718,9905.498214
6/20/2014,0.004189,144167
6/21/2014,0.004169,93206
6/22/2014,0.00417,189072
6/23/2014,0.004076,104818
6/24/2014,0.00407,190488
6/25/2014,0.00394,193409
6/26/2014,0.004052,19435
6/27/2014,0.003993,17794
6/28/2014,0.003926,8325
6/29/2014,0.004028,12608
6/30/2014,0.003779,20026
7/1/2014,0.00366,245846
7/2/2014,0.003484,157373
7/3/2014,0.003357,142355
7/4/2014,0.003243,224760
7/5/2014,0.003129,213094
7/6/2014,0.002807,150898
7/7/2014,0.003083,198315
7/8/2014,0.003398,230762
7/9/2014,0.003419,216814
7/10/2014,0.003419,216814
7/11/2014,0.003419,216814
7/12/2014,0.003419,216814
7/13/2014,0.003419,216814
7/14/2014,0.003419,216814
7/15/2014,0.003419,216814
7/16/2014,0.003419,216814
7/17/2014,0.003419,216814
7/18/2014,0.00636,613089
7/19/2014,0.005259,519611
7/20/2014,0.005376,190529
7/21/2014,0.005361,135920
7/22/2014,0.005623,271543
7/23/2014,0.006148,331286
7/24/2014,0.005926,270005
7/25/2014,0.006039,145360
7/26/2014,0.006039,143147
7/27/2014,0.006024,103331
7/28/2014,0.006159,160223
7/29/2014,0.00607,124429
7/30/2014,0.005094,468780
7/31/2014,0.005208,549848
8/1/2014,0.005341,406580
8/2/2014,0.005297,220806
8/3/2014,0.005219,71143
8/4/2014,0.004947,341431
8/5/2014,0.005104,256642
8/6/2014,0.005258,203671
8/7/2014,0.005343,222282
8/8/2014,0.005461,192128
8/9/2014,0.005243,320807
8/10/2014,0.004974,259716
8/11/2014,0.005219,263952
8/12/2014,0.005045,298592
8/13/2014,0.004969,289443
8/14/2014,0.005231,665609
8/15/2014,0.00542,302191
8/16/2014,0.00543,90692
8/17/2014,0.005166,114249
8/18/2014,0.004977,500362
8/19/2014,0.005041,176131
8/20/2014,0.005271,190844
8/21/2014,0.005125,152099
8/22/2014,0.005106,164398
8/23/2014,0.005013,104533
8/24/2014,0.005152,85275
8/25/2014,0.004952,288124
8/26/2014,0.004835,457135
8/27/2014,0.005008,165131
8/28/2014,0.005053,360393
8/29/2014,0.005015,175418
8/30/2014,0.004958,138278
8/31/2014,0.004896,111074
9/1/2014,0.005024,267053
9/2/2014,0.004643,232178
9/3/2014,0.004777,192231
9/4/2014,0.004813,125089
9/5/2014,0.004873,115886
9/6/2014,0.004798,73490
9/7/2014,0.00471,88092
9/8/2014,0.004706,107536
9/9/2014,0.004725,180729
9/10/2014,0.004747,160930
9/11/2014,0.004746,110880
9/12/2014,0.004696,190687
9/13/2014,0.004713,126120
9/14/2014,0.005166,565821
9/15/2014,0.005053,343050
9/16/2014,0.005109,585082
9/17/2014,0.005449,1291970
9/18/2014,0.005167,495261
9/19/2014,0.004943,409000
9/20/2014,0.004787,324116
9/21/2014,0.004564,307979
9/22/2014,0.004653,253585
9/23/2014,0.004595,325619
9/24/2014,0.004629,328371
9/25/2014,0.004699,756186
9/26/2014,0.004606,499112
9/27/2014,0.004716,224461
9/28/2014,0.005276,461428
9/29/2014,0.004702,130083
9/30/2014,0.004654,109635
10/1/2014,0.00477,63133
10/2/2014,0.004876,212276
10/3/2014,0.004986,252266
10/4/2014,0.004941,176390
10/5/2014,0.004798,181467
10/6/2014,0.004709,198119
10/7/2014,0.004772,145280
10/8/2014,0.004787,398199
10/9/2014,0.004821,213886
10/10/2014,0.004866,140376
10/11/2014,0.004758,260383
10/12/2014,0.004837,274086
10/13/2014,0.004806,459959
10/14/2014,0.004873,237256
10/15/2014,0.004825,235615
10/16/2014,0.004849,120959
10/17/2014,0.004903,245971
10/18/2014,0.004967,67759
10/19/2014,0.004946,56704
10/20/2014,0.005082,294752
10/21/2014,0.005214,143073
10/22/2014,0.005187,108690
10/23/2014,0.005148,379001
10/24/2014,0.005076,282232
10/25/2014,0.004717,257875
10/26/2014,0.004544,438454
10/27/2014,0.004897,295672
10/28/2014,0.004792,277509
10/29/2014,0.004782,348102
10/30/2014,0.004891,218834
10/31/2014,0.004866,153508
11/1/2014,0.004659,187547
11/2/2014,0.004669,122041
11/3/2014,0.004809,210558
11/4/2014,0.004805,267198
11/5/2014,0.004865,307053
11/6/2014,0.004878,414101
11/7/2014,0.004874,434943
11/8/2014,0.004907,148730
11/9/2014,0.004935,187184
11/10/2014,0.004899,577674
11/11/2014,0.004896,796924
11/12/2014,0.005082,427820
11/13/2014,0.005043,501328
11/14/2014,0.005187,318293
11/15/2014,0.005072,118028
11/16/2014,0.005182,75540
11/17/2014,0.00534,432274
11/18/2014,0.005433,457637
11/19/2014,0.005691,428109
11/20/2014,0.006075,932055
11/21/2014,0.006587,722162
11/22/2014,0.007656,1115380
11/23/2014,0.008583,1281590
11/24/2014,0.008616,849567
11/25/2014,0.009736,2617110
11/26/2014,0.010936,2329900
11/27/2014,0.013901,5109100
11/28/2014,0.015121,2925480
11/29/2014,0.014033,1865340
11/30/2014,0.011226,2849490
12/1/2014,0.012432,3370570
12/2/2014,0.013201,2254300
12/3/2014,0.013126,1078100
12/4/2014,0.013321,2375070
12/5/2014,0.013784,1355660
12/6/2014,0.01441,1388010
12/7/2014,0.014762,927939
12/8/2014,0.013416,2557320
12/9/2014,0.015038,1618900
12/10/2014,0.015915,1108200
12/11/2014,0.016374,1620910
12/12/2014,0.016374,1620910
12/13/2014,0.016939,1302090
12/14/2014,0.01718,445227
12/15/2014,0.018197,2622570
12/16/2014,0.021603,6289370
12/17/2014,0.025616,5801780
12/18/2014,0.027913,4089430
12/19/2014,0.023456,6299220
12/20/2014,0.022696,5339690
12/21/2014,0.022696,5339690
12/22/2014,0.025517,2087160
12/23/2014,0.024015,2744640
12/24/2014,0.023273,1549510
12/25/2014,0.024096,1205890
12/26/2014,0.02534,2017660
12/27/2014,0.024209,751102
12/28/2014,0.023713,1101280
12/29/2014,0.024253,1175130
12/30/2014,0.024235,801162
12/31/2014,0.024338,590681
1/1/2015,0.024376,433245
1/2/2015,0.024316,447891
1/3/2015,0.02227,2145220
1/4/2015,0.018855,3773380
1/5/2015,0.02023,3062830
1/6/2015,0.02068,1781430
1/7/2015,0.02083,767827
1/8/2015,0.020683,841536
1/9/2015,0.020576,1092300
1/10/2015,0.019306,1631870
1/11/2015,0.018835,560387
1/12/2015,0.018523,541172
1/13/2015,0.01563,3061580
1/14/2015,0.014167,1867540
1/15/2015,0.016491,2312720
1/16/2015,0.016426,1690220
1/17/2015,0.015384,761594
1/18/2015,0.015636,1156410
1/19/2015,0.015999,1083590
1/20/2015,0.016109,1037420
1/21/2015,0.016707,1112600
1/22/2015,0.016985,1157600
1/23/2015,0.016724,1070460
1/24/2015,0.016754,943232
