content/pr,TreasuryYield_10
1/2/2015,2.12
1/5/2015,2.04
1/6/2015,1.97
1/7/2015,1.96
1/8/2015,2.03
1/9/2015,1.98
1/12/2015,1.92
1/13/2015,1.91
1/14/2015,1.86
1/15/2015,1.77
1/16/2015,1.83
1/20/2015,1.82
1/21/2015,1.87
1/22/2015,1.9
1/23/2015,1.81
1/26/2015,1.83
1/27/2015,1.83
1/28/2015,1.73
1/29/2015,1.77
1/30/2015,1.68
2/2/2015,1.68
2/3/2015,1.79
2/4/2015,1.81
2/5/2015,1.83
2/6/2015,1.95
2/9/2015,1.96
2/10/2015,2.01
2/11/2015,2
2/12/2015,1.99
2/13/2015,2.02
2/17/2015,2.14
2/18/2015,2.07
2/19/2015,2.11
2/20/2015,2.13
2/23/2015,2.06
2/24/2015,1.99
2/25/2015,1.96
2/26/2015,2.03
2/27/2015,2
3/2/2015,2.08
3/3/2015,2.12
3/4/2015,2.12
3/5/2015,2.11
3/6/2015,2.24
3/9/2015,2.2
3/10/2015,2.14
3/11/2015,2.11
3/12/2015,2.1
3/13/2015,2.13
3/16/2015,2.1
3/17/2015,2.06
3/18/2015,1.93
3/19/2015,1.98
3/20/2015,1.93
3/23/2015,1.92
3/24/2015,1.88
3/25/2015,1.93
3/26/2015,2.01
3/27/2015,1.95
3/30/2015,1.96
3/31/2015,1.94
4/1/2015,1.87
4/2/2015,1.92
4/3/2015,1.85
4/6/2015,1.92
4/7/2015,1.89
4/8/2015,1.92
4/9/2015,1.97
4/10/2015,1.96
4/13/2015,1.94
4/14/2015,1.9
4/15/2015,1.91
4/16/2015,1.9
4/17/2015,1.87
4/20/2015,1.9
4/21/2015,1.92
4/22/2015,1.99
4/23/2015,1.96
4/24/2015,1.93
4/27/2015,1.94
4/28/2015,2
4/29/2015,2.06
4/30/2015,2.05
5/1/2015,2.12
5/4/2015,2.16
5/5/2015,2.19
5/6/2015,2.25
5/7/2015,2.18
5/8/2015,2.16
5/11/2015,2.28
5/12/2015,2.28
5/13/2015,2.27
5/14/2015,2.23
5/15/2015,2.14
5/18/2015,2.23
5/19/2015,2.27
5/20/2015,2.26
5/21/2015,2.19
5/22/2015,2.21
5/26/2015,2.14
5/27/2015,2.14
5/28/2015,2.13
5/29/2015,2.12
6/1/2015,2.19
6/2/2015,2.27
6/3/2015,2.38
6/4/2015,2.31
6/5/2015,2.41
6/8/2015,2.39
6/9/2015,2.42
6/10/2015,2.5
6/11/2015,2.39
6/12/2015,2.39
6/15/2015,2.36
6/16/2015,2.32
6/17/2015,2.32
6/18/2015,2.35
6/19/2015,2.26
6/22/2015,2.37
6/23/2015,2.42
6/24/2015,2.38
6/25/2015,2.4
6/26/2015,2.49
6/29/2015,2.33
6/30/2015,2.35
7/1/2015,2.43
7/2/2015,2.4
7/6/2015,2.3
7/7/2015,2.27
7/8/2015,2.22
7/9/2015,2.32
7/10/2015,2.42
7/13/2015,2.44
7/14/2015,2.41
7/15/2015,2.36
7/16/2015,2.36
7/17/2015,2.34
7/20/2015,2.38
7/21/2015,2.35
7/22/2015,2.33
7/23/2015,2.28
7/24/2015,2.27
7/27/2015,2.23
7/28/2015,2.26
7/29/2015,2.29
7/30/2015,2.28
7/31/2015,2.2
8/3/2015,2.16
8/4/2015,2.23
8/5/2015,2.28
8/6/2015,2.23
8/7/2015,2.18
8/10/2015,2.24
8/11/2015,2.15
8/12/2015,2.14
8/13/2015,2.19
8/14/2015,2.2
8/17/2015,2.16
8/18/2015,2.2
8/19/2015,2.12
8/20/2015,2.09
8/21/2015,2.05
8/24/2015,2.01
8/25/2015,2.12
8/26/2015,2.18
8/27/2015,2.18
8/28/2015,2.19
8/31/2015,2.21
9/1/2015,2.17
9/2/2015,2.2
9/3/2015,2.18
9/4/2015,2.13
9/8/2015,2.2
9/9/2015,2.21
9/10/2015,2.23
9/11/2015,2.2
9/14/2015,2.18
9/15/2015,2.28
9/16/2015,2.3
9/17/2015,2.21
9/18/2015,2.13
9/21/2015,2.2
9/22/2015,2.14
9/23/2015,2.16
9/24/2015,2.13
9/25/2015,2.17
9/28/2015,2.1
9/29/2015,2.05
9/30/2015,2.06
10/1/2015,2.05
10/2/2015,1.99
10/5/2015,2.07
10/6/2015,2.05
10/7/2015,2.08
10/8/2015,2.12
10/9/2015,2.12
10/13/2015,2.06
10/14/2015,1.99
10/15/2015,2.04
10/16/2015,2.04
10/19/2015,2.04
10/20/2015,2.08
10/21/2015,2.04
10/22/2015,2.04
10/23/2015,2.09
10/26/2015,2.07
10/27/2015,2.05
10/28/2015,2.1
10/29/2015,2.19
10/30/2015,2.16
11/2/2015,2.2
11/3/2015,2.23
11/4/2015,2.25
11/5/2015,2.26
11/6/2015,2.34
11/9/2015,2.36
11/10/2015,2.32
11/12/2015,2.32
11/13/2015,2.28
11/16/2015,2.27
11/17/2015,2.25
11/18/2015,2.27
11/19/2015,2.24
11/20/2015,2.26
11/23/2015,2.25
11/24/2015,2.24
11/25/2015,2.23
11/27/2015,2.22
11/30/2015,2.21
12/1/2015,2.15
12/2/2015,2.18
12/3/2015,2.33
12/4/2015,2.28
12/7/2015,2.23
12/8/2015,2.24
12/9/2015,2.22
12/10/2015,2.24
12/11/2015,2.13
12/14/2015,2.23
12/15/2015,2.28
12/16/2015,2.3
12/17/2015,2.24
12/18/2015,2.19
12/21/2015,2.2
12/22/2015,2.24
12/23/2015,2.27
12/24/2015,2.25
12/28/2015,2.24
12/29/2015,2.32
12/30/2015,2.31
12/31/2015,2.27
